wind_code,name,industry,in_index_50,in_index_300,in_index_500,in_index_1000
002038.SZ,双鹭药业,医疗保健,0,0,0,1
002041.SZ,登海种业,日常消费,0,0,0,1
002043.SZ,兔宝宝,材料,0,0,0,1
002044.SZ,美年健康,医疗保健,0,0,1,0
002045.SZ,国光电器,可选消费,0,0,0,1
002046.SZ,国机精工,工业,0,0,0,1
002048.SZ,宁波华翔,可选消费,0,0,0,1
002049.SZ,紫光国微,信息技术,0,1,0,0
002050.SZ,三花智控,工业,0,1,0,0
002051.SZ,中工国际,工业,0,0,0,1
002053.SZ,云南能投,公用事业,0,0,0,1
002056.SZ,横店东磁,工业,0,0,1,0
002060.SZ,广东建工,工业,0,0,0,1
002061.SZ,浙江交科,工业,0,0,0,1
002063.SZ,远光软件,信息技术,0,0,0,1
002064.SZ,华峰化学,材料,0,0,1,0
002065.SZ,东华软件,信息技术,0,0,1,0
002068.SZ,黑猫股份,材料,0,0,0,1
002073.SZ,软控股份,工业,0,0,0,1
002074.SZ,国轩高科,工业,0,1,0,0
002075.SZ,沙钢股份,材料,0,0,0,1
002077.SZ,大港股份,信息技术,0,0,0,1
002078.SZ,太阳纸业,材料,0,0,1,0
002079.SZ,苏州固锝,工业,0,0,0,1
002080.SZ,中材科技,材料,0,0,1,0
002081.SZ,金螳螂,工业,0,0,0,1
002085.SZ,万丰奥威,可选消费,0,0,1,0
002091.SZ,江苏国泰,工业,0,0,0,1
002093.SZ,国脉科技,信息技术,0,0,0,1
002096.SZ,易普力,材料,0,0,0,1
002097.SZ,山河智能,工业,0,0,0,1
002099.SZ,海翔药业,医疗保健,0,0,0,1
002100.SZ,天康生物,日常消费,0,0,0,1
002101.SZ,广东鸿图,可选消费,0,0,0,1
002104.SZ,恒宝股份,信息技术,0,0,0,1
002110.SZ,三钢闽光,材料,0,0,0,1
002120.SZ,韵达股份,工业,0,0,1,0
002121.SZ,科陆电子,工业,0,0,0,1
002123.SZ,梦网科技,信息技术,0,0,0,1
002125.SZ,湘潭电化,材料,0,0,0,1
002126.SZ,银轮股份,可选消费,0,0,1,0
002127.SZ,南极电商,可选消费,0,0,0,1
002128.SZ,电投能源,材料,0,0,1,0
002130.SZ,沃尔核材,工业,0,0,1,0
